bucket_time_ms,open,high,low,close,ret_5s,ret_60s,ret_300s,ret_900s,rv_300s,range_pct,body_pct,upper_wick_pct,lower_wick_pct,price_ema_60s,price_ema_300s,price_ema_900s,price_trend_60_300,price_trend_300_900,delta_notional,total_notional,delta_vol,total_vol,flow_share,flow_share_ema_60s,flow_share_ema_300s,flow_share_ema_900s,flow_accel_60_300,flow_accel_300_900,flow_z_300s,flow_adv_900s,num_trades,trades_per_sec,notional_per_sec,vol_per_sec,avg_trade_notional,avg_trade_vol,buy_share_notional,sell_share_notional,is_warmed_up,gap_ms,data_gap
1768559070000,95428.73,95428.74,95428.73,95428.74,1.0479024048493102e-07,0.0,0.0,0.0,0.0,1.0479023415077287e-05,0.9999999999,0.0,0.0,95428.74,95428.74,95428.74,0.0,0.0,-4335.3272004,4402.127318399999,-0.04543,0.046130000000000004,-0.9848254915933964,-0.9848254915933964,-0.9848254915933964,-0.9848254915933964,0.0,0.0,0.0,0.0,7,1.4,880.4254636799999,0.009226000000000002,628.8753311999999,0.00659,0.007587254203301781,0.9924127457966981,0,1215,0
1768559075000,95428.74,95428.74,95428.73,95428.73,-1.0479024048493102e-07,0.0,0.0,0.0,1.4819577929812762e-07,1.047902451317672e-05,0.9999999999,0.0,0.0,95428.73846153847,95428.73967213115,95428.73988950277,-0.0012105926871299744,-0.0002173716202378273,-3549.9487541999997,3584.3031006,-0.0372,0.037559999999999996,-0.9904153344636925,-0.9856854674195958,-0.9850087651301274,-0.9848872578129577,-0.0006767022894684782,-0.00012150731716964458,0.0,0.0,6,1.2,716.86062012,0.007512,597.3838501,0.006259999999999999,0.004792332768153619,0.9952076672318461,0,1347,0
1768559080000,95428.73,95428.74,95428.73,95428.74,1.0479024048493102e-07,0.0,0.0,0.0,1.2100134710484108e-07,1.0479023415077287e-05,0.9999999999,0.0,0.0,95428.73869822486,95428.73968288094,95428.73989072374,-0.0009846560860751197,-0.00020784279331564903,-1691.9512583999995,4068.1268843999997,-0.017730000000000003,0.04263,-0.41590424941958065,-0.8980268184965166,-0.9663496006806012,-0.9786001527478375,0.06832278218408461,0.012250552067236353,0.0,0.0,13,2.6,813.62537688,0.008526,312.93283726153845,0.0032792307692307695,0.29204787529020954,0.7079521247097902,0,1354,0
1768559085000,95428.74,95428.74,95428.73,95428.74,0.0,0.0,0.0,0.0,1.0032901686857864e-07,1.0479023415077287e-05,0.0,0.0,0.9999999999,95428.73889849796,95428.73969327829,95428.73989193121,-0.0007947803242132068,-0.0001986529241548851,-275.7889954,930.4301518,-0.00289,0.00975,-0.29641020861852047,-0.8054704169768249,-0.9443843747113526,-0.9710621423154694,0.13891395773452775,0.026677767604116776,0.0,0.0,8,1.6,186.08603036,0.00195,116.303768975,0.00121875,0.3517948956907392,0.6482051043092597,0,690,0
1768559090000,95428.74,95428.74,95428.73,95428.74,0.0,0.0,0.0,0.0,8.767380538463455e-08,1.0479023415077287e-05,0.0,0.0,0.9999999999,95428.73906795982,95428.73970333474,95428.73989312534,-0.0006353749195113778,-0.0001897906040539965,6290.663152099999,17957.7796819,0.06592,0.18818,0.35030294744291146,-0.6276591301430192,-0.9019356100505571,-0.9564614230916199,0.2742764799075379,0.05452581304106274,0.0,0.0,43,8.6,3591.55593638,0.037635999999999996,417.6227833,0.004376279069767441,0.6751514737214557,0.3248485262785442,0,331,0
1768559095000,95428.74,95428.74,95428.73,95428.73,-1.0479024048493102e-07,0.0,0.0,0.0,9.372724044114251e-08,1.047902451317672e-05,0.9999999999,0.0,0.0,95428.73767288908,95428.7393851926,95428.73978380904,-0.0017123035213444382,-0.00039861643745098263,-2565.1241794999996,4147.332688699999,-0.02688,0.04346,-0.6184997375515705,-0.6262499928212579,-0.8926426306243608,-0.952727039825984,0.26639263780310285,0.06008440920162317,0.0,0.0,9,1.8,829.4665377399999,0.008692,460.8147431888888,0.004828888888888889,0.19075013122421464,0.8092498687757852,0,1044,0
1768559100000,95428.73,95428.74,95428.73,95428.74,1.0479024048493102e-07,0.0,0.0,0.0,9.428349007498723e-08,1.0479023415077287e-05,0.9999999999,0.0,0.0,95428.73803090614,95428.73940535022,95428.73978619788,-0.0013744440802838653,-0.0003808476612903178,-532.4914440000011,17125.640755200002,-0.0055800000000000155,0.17946,-0.031093227495053947,-0.5346874135403035,-0.8643951092102851,-0.942543240794703,0.3297076956699816,0.07814813158441791,0.0,0.0,13,2.6,3425.1281510400004,0.035892,1317.356981169231,0.013804615384615386,0.484453386252473,0.515546613747527,0,519,0
1768559105000,95428.74,95428.74,95428.73,95428.73,-1.0479024048493102e-07,0.0,0.0,0.0,9.70169109009485e-08,1.047902451317672e-05,0.9999999999,0.0,0.0,95428.73679538212,95428.73909697808,95428.7396780631,-0.002301595959579572,-0.0005810850125271827,-822.5955625999998,2540.3128826,-0.00862,0.02662,-0.32381663228746693,-0.502245754886021,-0.8466712247210123,-0.9357064826896506,0.34442546983499134,0.08903525796863831,0.0,0.0,4,0.8,508.06257652000005,0.005324000000000001,635.07822065,0.006655,0.3380916838562663,0.6619083161437332,0,3584,0
1768559110000,95428.73,95428.74,95428.73,95428.73,0.0,0.0,0.0,0.0,9.075101032863082e-08,1.047902451317672e-05,0.0,0.9999999999,0.0,95428.73574993871,95428.7387987165,95428.73957112318,-0.0030487777839880437,-0.0007724066817900166,12204.381797,16754.4236434,0.12789,0.17557,0.7284274324654325,-0.3129114183704127,-0.7950286457968665,-0.9173182626326883,0.4821172274264538,0.12228961683582185,0.0,0.0,30,6.0,3350.88472868,0.035114,558.4807881133333,0.0058523333333333335,0.8642137162327161,0.13578628376728372,0,2613,0
1768559115000,95428.73,95428.74,95428.73,95428.73,0.0,0.0,0.0,0.0,8.556087307054036e-08,1.047902451317672e-05,0.0,0.9999999999,0.0,95428.73486533275,95428.73851023399,95428.73946536491,-0.0036449012404773384,-0.0009551309194648638,-643.189637,704.2640306000001,-0.00674,0.00738,-0.9132791240978635,-0.4052756807900205,-0.7989057106591942,-0.9172736312676626,0.3936300298691737,0.11836792060846835,0.0,0.0,8,1.6,140.85280612000003,0.001476,88.03300382500001,0.0009225,0.043360437951067435,0.9566395620489311,0,1228,0
